Step 500: {'loss': 2.0758, 'grad_norm': 23.83847427368164, 'learning_rate': 3.897777777777778e-05, 'epoch': 0.2222222222222222}
Step 1000: {'loss': 1.8915, 'grad_norm': 13.971112251281738, 'learning_rate': 2.786666666666667e-05, 'epoch': 0.4444444444444444}
Step 1500: {'loss': 1.8168, 'grad_norm': 15.595458984375, 'learning_rate': 1.6755555555555557e-05, 'epoch': 0.6666666666666666}
Step 2000: {'loss': 1.7902, 'grad_norm': 16.14358901977539, 'learning_rate': 5.6444444444444445e-06, 'epoch': 0.8888888888888888}
Step 2250: {'train_runtime': 809.2592, 'train_samples_per_second': 11.121, 'train_steps_per_second': 2.78, 'total_flos': 1726055867520000.0, 'train_loss': 1.8793237982855904, 'epoch': 1.0}
Step 500: {'loss': 1.7348, 'grad_norm': 15.827262878417969, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.2222222222222222}
Step 1000: {'loss': 1.7082, 'grad_norm': 10.327255249023438, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.4444444444444444}
Step 1500: {'loss': 1.6877, 'grad_norm': 14.330263137817383, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.6666666666666666}
Step 2000: {'loss': 1.688, 'grad_norm': 13.478740692138672, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.8888888888888888}
Step 2250: {'train_runtime': 809.027, 'train_samples_per_second': 11.124, 'train_steps_per_second': 2.781, 'total_flos': 1726055867520000.0, 'train_loss': 1.7021818983289931, 'epoch': 1.0}
Step 500: {'loss': 2.0843, 'grad_norm': 22.410314559936523, 'learning_rate': 4.779555555555556e-05, 'epoch': 0.044444444444444446}
Step 1000: {'loss': 1.8825, 'grad_norm': 14.643261909484863, 'learning_rate': 4.557333333333333e-05, 'epoch': 0.08888888888888889}
Step 1500: {'loss': 1.8035, 'grad_norm': 12.185515403747559, 'learning_rate': 4.3351111111111115e-05, 'epoch': 0.13333333333333333}
Step 2000: {'loss': 1.7766, 'grad_norm': 11.354965209960938, 'learning_rate': 4.112888888888889e-05, 'epoch': 0.17777777777777778}
Step 2500: {'loss': 1.7558, 'grad_norm': 10.831315040588379, 'learning_rate': 3.8911111111111117e-05, 'epoch': 0.2222222222222222}
Step 3000: {'loss': 1.7323, 'grad_norm': 9.921269416809082, 'learning_rate': 3.668888888888889e-05, 'epoch': 0.26666666666666666}
Step 3500: {'loss': 1.7043, 'grad_norm': 8.727527618408203, 'learning_rate': 3.4466666666666666e-05, 'epoch': 0.3111111111111111}
Step 4000: {'loss': 1.667, 'grad_norm': 8.950416564941406, 'learning_rate': 3.224444444444444e-05, 'epoch': 0.35555555555555557}
Step 4500: {'loss': 1.6591, 'grad_norm': 8.648307800292969, 'learning_rate': 3.0022222222222223e-05, 'epoch': 0.4}
Step 5000: {'loss': 1.6319, 'grad_norm': 10.93738842010498, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.4444444444444444}
Step 5500: {'loss': 1.6423, 'grad_norm': 11.450265884399414, 'learning_rate': 2.557777777777778e-05, 'epoch': 0.4888888888888889}
Step 6000: {'loss': 1.6356, 'grad_norm': 8.6139554977417, 'learning_rate': 2.3355555555555555e-05, 'epoch': 0.5333333333333333}
Step 6500: {'loss': 1.6195, 'grad_norm': 7.514315605163574, 'learning_rate': 2.113777777777778e-05, 'epoch': 0.5777777777777777}
Step 7000: {'loss': 1.6048, 'grad_norm': 12.635519027709961, 'learning_rate': 1.8915555555555557e-05, 'epoch': 0.6222222222222222}
Step 7500: {'loss': 1.6191, 'grad_norm': 7.76188850402832, 'learning_rate': 1.669333333333333e-05, 'epoch': 0.6666666666666666}
Step 8000: {'loss': 1.5958, 'grad_norm': 13.735716819763184, 'learning_rate': 1.4471111111111113e-05, 'epoch': 0.7111111111111111}
Step 8500: {'loss': 1.6018, 'grad_norm': 9.118963241577148, 'learning_rate': 1.2253333333333333e-05, 'epoch': 0.7555555555555555}
Step 9000: {'loss': 1.5936, 'grad_norm': 9.018338203430176, 'learning_rate': 1.0031111111111112e-05, 'epoch': 0.8}
Step 9500: {'loss': 1.5759, 'grad_norm': 9.455402374267578, 'learning_rate': 7.808888888888888e-06, 'epoch': 0.8444444444444444}
Step 10000: {'loss': 1.5782, 'grad_norm': 10.697173118591309, 'learning_rate': 5.586666666666667e-06, 'epoch': 0.8888888888888888}
Step 10500: {'loss': 1.5758, 'grad_norm': 14.780938148498535, 'learning_rate': 3.3688888888888886e-06, 'epoch': 0.9333333333333333}
Step 11000: {'loss': 1.5575, 'grad_norm': 7.368407726287842, 'learning_rate': 1.1466666666666668e-06, 'epoch': 0.9777777777777777}
Step 11250: {'train_runtime': 3487.5888, 'train_samples_per_second': 12.903, 'train_steps_per_second': 3.226, 'total_flos': 8494000232832000.0, 'train_loss': 1.6748186116536459, 'epoch': 1.0}
Step 500: {'loss': 2.0844, 'grad_norm': 22.428438186645508, 'learning_rate': 4.779555555555556e-05, 'epoch': 0.044444444444444446}
Step 1000: {'loss': 1.8825, 'grad_norm': 14.63752269744873, 'learning_rate': 4.557333333333333e-05, 'epoch': 0.08888888888888889}
Step 1500: {'loss': 1.8036, 'grad_norm': 12.182947158813477, 'learning_rate': 4.3351111111111115e-05, 'epoch': 0.13333333333333333}
Step 2000: {'loss': 1.7766, 'grad_norm': 11.465450286865234, 'learning_rate': 4.112888888888889e-05, 'epoch': 0.17777777777777778}
Step 2500: {'loss': 1.7558, 'grad_norm': 10.822922706604004, 'learning_rate': 3.8911111111111117e-05, 'epoch': 0.2222222222222222}
Step 3000: {'loss': 1.7322, 'grad_norm': 9.933605194091797, 'learning_rate': 3.668888888888889e-05, 'epoch': 0.26666666666666666}
Step 3500: {'loss': 1.7043, 'grad_norm': 8.658955574035645, 'learning_rate': 3.4466666666666666e-05, 'epoch': 0.3111111111111111}
Step 4000: {'loss': 1.6669, 'grad_norm': 8.984619140625, 'learning_rate': 3.224444444444444e-05, 'epoch': 0.35555555555555557}
Step 4500: {'loss': 1.6589, 'grad_norm': 8.888479232788086, 'learning_rate': 3.0022222222222223e-05, 'epoch': 0.4}
Step 5000: {'loss': 1.632, 'grad_norm': 10.933759689331055, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.4444444444444444}
Step 5500: {'loss': 1.6422, 'grad_norm': 11.447604179382324, 'learning_rate': 2.557777777777778e-05, 'epoch': 0.4888888888888889}
Step 6000: {'loss': 1.6356, 'grad_norm': 8.613249778747559, 'learning_rate': 2.3355555555555555e-05, 'epoch': 0.5333333333333333}
Step 6500: {'loss': 1.6194, 'grad_norm': 7.497155666351318, 'learning_rate': 2.113777777777778e-05, 'epoch': 0.5777777777777777}
Step 7000: {'loss': 1.6047, 'grad_norm': 12.587228775024414, 'learning_rate': 1.8915555555555557e-05, 'epoch': 0.6222222222222222}
Step 7500: {'loss': 1.619, 'grad_norm': 7.760223865509033, 'learning_rate': 1.669333333333333e-05, 'epoch': 0.6666666666666666}
Step 8000: {'loss': 1.5958, 'grad_norm': 13.68042278289795, 'learning_rate': 1.4471111111111113e-05, 'epoch': 0.7111111111111111}
Step 8500: {'loss': 1.6016, 'grad_norm': 9.13276195526123, 'learning_rate': 1.2253333333333333e-05, 'epoch': 0.7555555555555555}
Step 9000: {'loss': 1.5936, 'grad_norm': 8.994640350341797, 'learning_rate': 1.0031111111111112e-05, 'epoch': 0.8}
Step 9500: {'loss': 1.5758, 'grad_norm': 9.44002628326416, 'learning_rate': 7.808888888888888e-06, 'epoch': 0.8444444444444444}
Step 10000: {'loss': 1.5781, 'grad_norm': 10.629926681518555, 'learning_rate': 5.586666666666667e-06, 'epoch': 0.8888888888888888}
Step 10500: {'loss': 1.5759, 'grad_norm': 14.763631820678711, 'learning_rate': 3.3688888888888886e-06, 'epoch': 0.9333333333333333}
Step 11000: {'loss': 1.5575, 'grad_norm': 7.366488933563232, 'learning_rate': 1.1466666666666668e-06, 'epoch': 0.9777777777777777}
Step 11250: {'train_runtime': 6139.4738, 'train_samples_per_second': 7.33, 'train_steps_per_second': 1.832, 'total_flos': 8494000232832000.0, 'train_loss': 1.674780615234375, 'epoch': 1.0}
Step 500: {'loss': 2.0843, 'grad_norm': 22.185319900512695, 'learning_rate': 4.926518518518518e-05, 'epoch': 0.044444444444444446}
Step 1000: {'loss': 1.8824, 'grad_norm': 14.324646949768066, 'learning_rate': 4.852444444444444e-05, 'epoch': 0.08888888888888889}
Step 1500: {'loss': 1.8029, 'grad_norm': 11.69240951538086, 'learning_rate': 4.7783703703703706e-05, 'epoch': 0.13333333333333333}
Step 2000: {'loss': 1.7759, 'grad_norm': 11.071653366088867, 'learning_rate': 4.7042962962962965e-05, 'epoch': 0.17777777777777778}
Step 2500: {'loss': 1.7542, 'grad_norm': 10.418721199035645, 'learning_rate': 4.630370370370371e-05, 'epoch': 0.2222222222222222}
Step 3000: {'loss': 1.7301, 'grad_norm': 9.386791229248047, 'learning_rate': 4.5562962962962965e-05, 'epoch': 0.26666666666666666}
Step 3500: {'loss': 1.7016, 'grad_norm': 8.378546714782715, 'learning_rate': 4.4822222222222224e-05, 'epoch': 0.3111111111111111}
Step 4000: {'loss': 1.6638, 'grad_norm': 8.472025871276855, 'learning_rate': 4.408148148148148e-05, 'epoch': 0.35555555555555557}
Step 4500: {'loss': 1.6544, 'grad_norm': 8.17807674407959, 'learning_rate': 4.334074074074074e-05, 'epoch': 0.4}
Step 5000: {'loss': 1.6272, 'grad_norm': 10.168551445007324, 'learning_rate': 4.26e-05, 'epoch': 0.4444444444444444}
Step 5500: {'loss': 1.6364, 'grad_norm': 10.430829048156738, 'learning_rate': 4.185925925925926e-05, 'epoch': 0.4888888888888889}
Step 6000: {'loss': 1.6286, 'grad_norm': 7.708828449249268, 'learning_rate': 4.111851851851852e-05, 'epoch': 0.5333333333333333}
