input_ingredients,top_k,top_p,temperature,recipe
"chicken, garlic, onion, spices",30,0.8,0.7,"chicken, garlic, onion, spices and herbs"", ""1 1/2 c. chicken stock"", ""1/2 c. sugar"", ""2 tsp. salt"", ""1/2 tsp. pepper"", ""2 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1 tsp. salt"", ""1/2 tsp. dry mustard"", ""1/2 tsp. paprika""] [""Mix all ingredients together."", ""Bake in a greased pan for 1 hour at 350\u00b0.""] [""Mix all ingredients together and bake for 45 minutes in a 350\u00b0 oven.""] [""Bake for 1 hour in a 325\u00b0 oven.""] [""Bake for 15 minutes in a 350\u00b0 oven.""] [""Bake for 1 hour in a 325\u00b0 oven.""] [""Bake for 1 hour in a 325\u00b0 oven.""] [""Bake"
"chicken, garlic, onion, spices",30,0.8,0.8,"chicken, garlic, onion, spices and oregano"", ""1/2 c. chicken broth"", ""1 Tbsp. lemon juice"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1/4 tsp. pepper"", ""1/4 tsp. paprika"", ""1/4 tsp. paprika"", ""1/4 tsp. thyme"", ""1/2 tsp. basil"", ""1/2 tsp. oregano"", ""1/4 tsp. basil"", ""1/2 tsp. salt"", ""1/4 c. water"", ""2 c. chicken broth""] [""In a large saucepan, combine chicken, spices, broth, lemon juice, lemon juice, salt, pepper, paprika, thyme and basil."", ""Bring to a boil."", ""Remove from heat and let simmer until tender, about 30 minutes."", ""Add chicken and cook for 20 minutes."", ""Stir in water and chicken broth."
"chicken, garlic, onion, spices",30,0.8,1.0,"chicken, garlic, onion, spices, basil, basil, oregano, parsley"", ""salt to taste"", ""fresh basil"", ""fresh parsley"", ""1 qt. oil"", ""2 cans tomato soup"", ""3 cans tomato paste""] [""Boil chicken with water and turn off heat."", ""Leave chicken in pot."", ""Add oil and simmer 15 minutes."", ""Add onion, spices, basil and fresh basil."", ""Add tomato paste and heat through."", ""Pour into baking dish and bake at 375\u00b0 for 2 to 3 hours."", ""Makes 1 1/2 quarts.""] [""Makes 1/2 cup sauce.""] [""Put chicken on rack in baking dish.""] [""Remove from oven and brown.""] [""Place chicken on rack in baking dish and bake at 375\u00b0 for 10 minutes.""] Add salt, pepper, fresh basil, oregano, parsley and fresh basil."", ""Mix"
"chicken, garlic, onion, spices",30,0.9,0.7,"chicken, garlic, onion, spices and pepper"", ""1 c. water"", ""1/2 c. brown sugar"", ""1 1/2 c. vinegar"", ""1/2 c. soy sauce"", ""1 tsp. salt"", ""1 tsp. paprika"", ""1 tsp. ginger"", ""1 tsp. oregano"", ""1/2 tsp. basil"", ""1 tsp. salt"", ""1/2 tsp. black pepper"", ""1 c. dry white wine""] [""Mix all ingredients together."", ""Pour into a large bowl and let stand overnight."", ""When ready to serve, add a few drops of hot sauce and stir to coat chicken."", ""Serve over rice.""] [""You can use the same mix as for regular chicken. Makes 6 servings.""] [""You can use any seasoning you like."", ""Serve on rice.""] [""Makes about 4 servings.""] [""You can also use the same mix for your chicken.""]"
"chicken, garlic, onion, spices",30,0.9,0.8,"chicken, garlic, onion, spices"", ""1 Tbsp. oil"", ""1/2 c. honey"", ""1 tsp. salt"", ""1/4 tsp. garlic powder""] [""Cut chicken into bite size pieces."", ""Boil chicken in water with the oil and spices."", ""Remove skin and bones."", ""Add honey, salt and garlic powder and mix well."", ""Add chicken and mix well."", ""Pour mixture over chicken in baking dish and bake for 1 1/2 hours at 350\u00b0.""] [""Remove chicken from oven and brush with oil and spices."", ""Bake 1/2 more, then bake another 1/2 hours at 350\u00b0."", ""Serve over rice.""] [""Serves 6.""] [""Bake at 350\u00b0 for 20 minutes.""] [""Cut into bite size pieces."", ""Serves 6.""] ""Excellent on beef or pork chops.""] [""Cut into bite size"
"chicken, garlic, onion, spices",30,0.9,1.0,"chicken, garlic, onion, spices, chicken"", ""2 cans beef bouillon"", ""2 cans mushrooms, sliced"", ""1/2 can chicken bouillon"", ""2 c. water"", ""2 cans cream of mushroom soup""] [""Mix bouillon with water; add to bouillon mixture."", ""Simmer for 20 minutes."", ""Pour over chicken and add mushroom soup."", ""Baste chicken, if desired.""] [""Bake 1 1/2 hours in 300\u00b0 oven."", ""Can be heated in oven without the grease. Serves 4.""] [""Place chicken in a large pan and bake 20 minutes in oven. Return chicken to oven. Serves 4.""] [""Bake at 350\u00b0 for 30 minutes.""] [""Bake 30 minutes longer.""] Serve with sliced mushrooms and chicken.""] [""Serve with rice and sour cream.""] [""Great for parties!""]] Recipe may be doubled or doubled with the mushroom"
"chicken, garlic, onion, spices",30,0.95,0.7,"chicken, garlic, onion, spices and mushrooms (optional)"", ""1 can cream of mushroom soup"", ""1 can cream of chicken soup"", ""1 can cream of celery soup"", ""1 1/2 c. milk"", ""1 stick butter"", ""1/2 c. flour"", ""1/2 c. chicken broth""] [""Saute onions and mushrooms in butter until tender."", ""Mix all ingredients together and pour into greased casserole dish."", ""Bake at 350\u00b0 for 1 hour.""] [""Mix and bake for 30 minutes longer.""] [""Bake at 350\u00b0 for 15 minutes.""] Can be made ahead and kept in refrigerator for a week before serving.""] [""Use chicken broth as a substitute for chicken broth.""] [""Cook chicken at 350\u00b0 until done.""] [""Bake at 350\u00b0 for 2 hours or until done.""] [""Mix soup and milk together"
"chicken, garlic, onion, spices",30,0.95,0.8,"chicken, garlic, onion, spices, etc.""] [""Saute chicken in a large skillet until done.""] [""Mix all ingredients together."", ""Pour into a baking dish and bake at 350\u00b0 for 2 hours.""] Serve with rice, spaghetti, etc.""] [""Serve over rice.""] Yields about 1/2 cup.""] Yields 1 lb.""] Yields 5 servings.""] [""Cook for 10 to 12 minutes.""] Yields 25.""] [""Use 1/2 cup.""] [""Cook for 10 to 12 minutes.""] Yields 1/2 cup.""] ""Use 4 servings.""] Yields 4 servings.""] Yields 4 servings.""] [""Use 2 servings.""] Yields 6 servings.""] Yields 8 servings.""] Yields 4 servings.""] Yields 3 servings.""] Yields 8 servings.""] Yields 2 servings.""]"
"chicken, garlic, onion, spices",30,0.95,1.0,"chicken, garlic, onion, spices and oregano"", ""1 1/2 lb. lean ground beef"", ""1/2 tsp. salt"", ""1/2 tsp. black pepper"", ""1 (28 oz.) can pork and beans"", ""1/2 c. water""] [""Brown meat in large skillet, then in small amount of oil. Add onion, seasonings and oregano, cover and simmer. Heat beans, water and remaining ingredients for 2 to 3 minutes or until beef is tender, then add beef mixture. Turn into 3-quart casserole dish."", ""Bake for 20 to 25 minutes, uncovered. Serves 6.""] [""Bake for 15 to 20 minutes, or until desired color and texture."", ""Yields 6 servings.""] [""Total Recipe:"", ""12 servings.""] Preparation Time:"", ""30 minutes.""] Excess fat can be added to slow cooker.""] [""Combine all ingredients to heat."","
"chicken, garlic, onion, spices",50,0.8,0.7,"chicken, garlic, onion, spices and poultry seasoning"", ""1 can cream of mushroom soup"", ""1 c. water"", ""1/2 c. milk"", ""1 c. diced celery"", ""1 c. diced green pepper"", ""1 c. diced carrots"", ""1 c. diced celery"", ""1/2 c. diced onions"", ""1/2 c. chopped parsley"", ""1/2 c. diced onion rings""] [""Mix all ingredients together."", ""Place in casserole dish and bake at 350\u00b0 for 1 hour."", ""Serves 4 to 6.""] [""Mix all ingredients together."", ""Bake for 1 hour more.""] [""Bake for 1 hour more.""] [""Serves 4 to 6.""] [""Can also be made in advance.""] [""Bake for 1 hour more.""] [""May be served at once.""] [""Serves 4 to 6.""] ""Can be made ahead of"
