restaurant_name,negative_percentage,positive_percentage,total_reviews
375_Chicken_n_Fries,0.0,1.0,7
Zoni_Cafe,0.0,1.0,1
519,0.0,1.0,4
16_Handles,0.0,1.0,1
Zoe_Restaurant_Lounge,0.0,1.0,1
1_Chimi_Sushi,0.0,1.0,1
Zheng_s_Lucky_Sunday_Garden,0.0,1.0,1
212_Restaurant_And_Bar,0.0,1.0,1
Wok_to_Walk,0.0,1.0,1
74th_Street_Cafe,0.0,1.0,1
Wimpy_s,0.0,1.0,1
Wimpies_Restaurant,0.0,1.0,1
William_Poll,0.0,1.0,4
Flaco_s_Pizza,0.0,1.0,2
Food_U_Desire,0.0,1.0,1
Foodtown,0.0,1.0,3
Forever_Taste,0.0,1.0,1
Frangos_Peri_Peri,0.0,1.0,1
Fresco_57,0.0,1.0,2
Fresco_s_Pizzeria,0.0,1.0,1
Fresh_Basil_s,0.0,1.0,1
Fresh_Co,0.0,1.0,1
Fresh_Tortilla,0.0,1.0,1
Fuji_Sushi,0.0,1.0,2
Fulton_Stall_Market,0.0,1.0,1
Fusion_Grill,0.0,1.0,1
Future_You_Cafe,0.0,1.0,1
Amsterdam_Restaurant,0.0,1.0,3
Ana_Ramen,0.0,1.0,1
Valducci_s_Pizza_Cafe,0.0,1.0,2
Variety_Coffee_Roasters,0.0,1.0,1
Vegetariano,0.0,1.0,1
Vinnie_s_Pizzeria,0.0,1.0,1
Visana,0.0,1.0,1
Wafels_Dinges,0.0,1.0,2
Aki_Sushi_3,0.0,1.0,2
Al_Horno_Lean_Mexican_Kitchen,0.0,1.0,2
Arepa_Factory,0.0,1.0,1
Tribeca_Taco_Truck,0.0,1.0,1
Trinity_s_Pub,0.0,1.0,1
Two_Forks,0.0,1.0,1
U_Like,0.0,1.0,2
Untamed_Sandwiches,0.0,1.0,2
Uptown_Poke,0.0,1.0,1
Urban_Lobster_Shack,0.0,1.0,1
Amir_s_Kitchen,0.0,1.0,1
Atomic_Wings,0.0,1.0,1
Auntie_Anne_s,0.0,1.0,1
Auriga_Cafe,0.0,1.0,1
Avalon_New_York,0.0,1.0,2
Avellino_s_Pizzeria_Catering,0.0,1.0,1
The_Sweet_Shop_NYC,0.0,1.0,2
The_Teriyaki_Boys,0.0,1.0,1
The_West_Coffeehouse_Bar,0.0,1.0,1
Thirstea,0.0,1.0,2
Tilted_Kilt,0.0,1.0,1
Tokyo_Mart,0.0,1.0,1
Topokee,0.0,1.0,1
Tramonti_Fifth_Ave,0.0,1.0,1
GRK,0.0,1.0,1
Fairway_Cafe_Steakhouse,0.0,1.0,2
Fields_Good_Chicken,0.0,1.0,2
Gael_Pub,0.0,1.0,1
Garden_Restaurant,0.0,1.0,4
Gleason_s_Tavern,0.0,1.0,1
Go_Sushi,0.0,1.0,2
Godiva_Cafe,0.0,1.0,2
Godiva_Chocolatier,0.0,1.0,4
Golden_Dragon_Restaurant,0.0,1.0,1
Golden_Manna_Bakery,0.0,1.0,1
Golden_Star_Restaurant,0.0,1.0,1
Gong_Cha_Chinatown,0.0,1.0,5
Ernesto_s,0.0,1.0,2
Backyard_Chicken,0.0,1.0,1
Bagel_Belly,0.0,1.0,6
The_Joint,0.0,1.0,1
The_Kati_Roll_Company,0.0,1.0,1
The_Otheroom,0.0,1.0,2
The_Perfect_Taste,0.0,1.0,1
The_Sefton,0.0,1.0,1
The_Shuka_Truck,0.0,1.0,3
The_Simone,0.0,1.0,10
Atoboy,0.0,1.0,77
Baguettes_and_Company,0.0,1.0,1
Baked_Ideas,0.0,1.0,1
Bar_Feroce,0.0,1.0,1
That_s_Amore_Pizzeria,0.0,1.0,1
The_Bao_Shoppe,0.0,1.0,1
The_Brown_Cup,0.0,1.0,1
The_Den_Hyatt_Herald_Square,0.0,1.0,2
The_Fisherman_s_Dog,0.0,1.0,1
The_Halal_Indian_Kitchen,0.0,1.0,1
Azuki_Sushi_and_Chinese,0.0,1.0,1
BH_Kitchen_Bar,0.0,1.0,28
Bayard_s_Ale_House_East,0.0,1.0,1
Tacos_Cuautla_Morelos,0.0,1.0,1
Tang_Zi_Zhong_Restaurant,0.0,1.0,1
Tapas_Bites,0.0,1.0,1
Taqueria_Diana,0.0,1.0,1
Taqueria_El_Barrio,0.0,1.0,1
Tavola_Calda_Deli,0.0,1.0,1
Taz_Cafe,0.0,1.0,1
Tbaar,0.0,1.0,1
Tea_Time,0.0,1.0,2
Tebaya,0.0,1.0,2
Ten_Zan_Restaurant,0.0,1.0,2
Tenth_Avenue_Diner,0.0,1.0,2
Exclusive_Pizza,0.0,1.0,1
Express_Thali,0.0,1.0,1
Grab_Go,0.0,1.0,2
Grain_House,0.0,1.0,1
Grandma_s_Pizza,0.0,1.0,1
Green_Fusion,0.0,1.0,1
Green_Generation_NYC,0.0,1.0,1
Grini_s_Grill,0.0,1.0,1
Ground_Central_Coffee_Company,0.0,1.0,1
Guang_Ming,0.0,1.0,1
Guy_Gallard,0.0,1.0,3
Halal_Kitchen,0.0,1.0,1
Hale_Hearty_Soups,0.0,1.0,2
Hall,0.0,1.0,1
Beijing_Chinese_Restaurant,0.0,1.0,1
Sultan_Turkish_Restaurant,0.0,1.0,1
Summer_Salt,0.0,1.0,1
Sushi_Co,0.0,1.0,2
Sushi_Tokyo_Chelsea,0.0,1.0,2
Sushiro_Seasonal_Kitchen,0.0,1.0,1
Sweet_Gloria,0.0,1.0,1
Sweetgreen,0.0,1.0,7
TSQ_taqueria,0.0,1.0,1
T_G_Whitney_s,0.0,1.0,1
Taco_Azul,0.0,1.0,1
Taco_House,0.0,1.0,1
Taco_Rey_Restaurant_2,0.0,1.0,1
Barcelona_Restaurant,0.0,1.0,1
Space_Market,0.0,1.0,2
Spice_Corner,0.0,1.0,2
Spicy_Moon,0.0,1.0,1
Spicy_Tibet,0.0,1.0,2
Spring_Mart,0.0,1.0,1
St_Tropez_West_Village,0.0,1.0,36
Stella_s_Coffee_Shop,0.0,1.0,1
Sticky_s_Finger_Joint,0.0,1.0,1
Studio_59,0.0,1.0,1
Suki,0.0,1.0,1
Beard_Papa_s,0.0,1.0,4
